,nome_agriturismo,indirizzo_agriturismo,telefono,attivo_da,pec,sito_internet,malga,azienda_zootecnica,fattoria_didattica,tot_posti_letto,tot_posti_tavola,degustazione,colazione,class_margherite,altitudine,latitudine,longitudine,comune,cap
0,MONTIBELLER,VIA PROSE N. 1,0461773349,1987,az.montibeller@pec.it,,NO,no,SI,24,60,SI,SI,2.0,535,46.0469731,11.4109589,Roncegno terme,38050
1,FONTANARI ETTORE,VIA CHIMELLI N. 25,0461530023,1987,ettore.fontanari@pec.agritel.it,,NO,no,NO,9,0,NO,NO,2.0,482,46.0625206,11.2405473,Pergine Valsugana,38057
2,MALGA MONDIFRA,LOC. CAMPOCARLOMAGNO,0463985413,1987,cicolini.ivo@cia.legalmail.it,,SI,no,NO,0,54,SI,NO,3.0,782,0.0,0.0,Dimaro Folgarida,38025
3,MALGA ROLLE,LOCALITÀ PASSO ROLLE,043962941,1987,caseificioprimiero@pec.cooperazionetrentina.it,,SI,no,NO,0,51,NO,NO,3.0,2000,46.29633,11.78644,Primiero San Martino di Castrozza,38054
4,MALGA FOSSERNICA DI DENTRO,LOC. MALGA FOSSERNICA DI DENTRO,043962941,2011,caseificioprimiero@pec.cooperazionetrentina.it,,SI,no,NO,0,9,SI,NO,,1777,0.0,0.0,Canal San Bovo,38050
5,MALGA VENEGIOTA,MALGA VENEGIOTA,043964657,1987,malghepascoli@pec.coldiretti.it,,SI,no,NO,0,30,NO,NO,2.0,1824,46.3131012,11.8144906,Primiero San Martino di Castrozza,38054
6,MALGA JURIBELLO,MALGA JURIBELLO,20/0520717,1988,segreteria@pec.apatrento.it,,SI,no,NO,24,90,NO,SI,2.0,1900,46.3123427,11.7751257,Primiero San Martino di Castrozza,38054
7,MAS DEI OSTI,MASO OSTI N. 2,0461551334,1989,maria.moser@pec.agritel.it,,NO,no,NO,6,0,NO,NO,2.0,925,0.0,0.0,Sant'Orsola Terme,38050
8,GRUBER AL RIO MOLINI,VIA D. CHIESA N. 5,0461658659,1990,bruno.gruber@pec.agritel.it,,NO,no,NO,6,0,NO,SI,2.0,251,26.66667,87.5,Roverè della Luna,38030
9,MASO S. ROCCO,LOC. S. ROCCO N. 3,0461922785,1991,masosanrocco@pec-ditta.it,,NO,no,NO,0,45,NO,NO,3.0,340,46.0341693,11.1454502,Trento,38121
10,MASO ZANON,VIA CERIN N. 15,0462814215,1991,marialuisa.bertoluzza@pec.agritel.it,,NO,SI,NO,0,46,NO,NO,2.0,1000,2.7373,31.88644,Tesero,38038
11,AGRITUR FIOR DI MELO,VIA BERGAMO N. 15,0463451090,1992,bergamo.franco60@cia.legalmail.it,www.agriturfiordimelo.it,NO,no,NO,4,0,NO,NO,2.0,550,2.7373,31.88644,Ville d'Anaunia,38019
12,AGRITUR VOLPAIA,LOC. VOLPAIA N. 3,3387258714,1992,sergio.panizza@pec.agritel.it,www.agriturvolpaia.it,NO,SI,SI,13,55,SI,SI,4.0,1270,26.91667,87.91667,Vermiglio,38029
13,AGRITUR MIRELLA,FRAZ. MIONE N. 21,0463530328,1992,mirella.paris@pec.agritel.it,,NO,SI,NO,0,28,NO,NO,2.0,939,4.96887,7.65985,Rumo,38020
14,AGRITUR VIVALDI,VIA STRADA GRANDA N. 108,0464506185,1993,antonio.vivaldi@pec.agritel.it,,NO,no,NO,28,0,NO,NO,2.0,85,45.8771099,10.8772788,Nago-Torbole,38069
15,LEONARDELLI PIO,TAVON - VIA MIRAMONTI ,0463536335,1993,pio.leonardelli@pec.agritel.it,,NO,no,NO,32,0,NO,NO,2.0,831,43.86258,11.26497,Predaia,38012
16,AGRITUR LEITA,VIA S. EMERENZIANA N. 40,0463451372,1993,giovanni.leita@pec.agritel.it,www.agriturismo-leita.it,NO,no,SI,10,0,SI,SI,5.0,629,17.83333,79.08333,Ville d'Anaunia,38019
